record_id,aspect,category,global_sentiment_score,global_sentiment_class,theme_latency_sentiment,theme_latency_class,theme_bandwidth_sentiment,theme_cost_sentiment,theme_complexity_sentiment,theme_device_mgmt_sentiment,theme_infrastructure_sentiment,theme_bandwidth_class,theme_device_mgmt_class,theme_infrastructure_class,theme_cost_class,theme_complexity_class
0,5G/6G Connectivity,5G_6G_Connectivity,0.4404,Positive,0.4404,Positive,,,,,,,,,,
1,5G/6G Connectivity,5G_6G_Connectivity,0.0,Neutral,,,0.0,,,0.0,,Neutral,Neutral,,,
2,5G/6G Connectivity,5G_6G_Connectivity,-0.2263,Negative,,,-0.2263,,,,,Negative,,,,
3,5G/6G Connectivity,5G_6G_Connectivity,0.3818,Positive,,,0.3818,,,,,Positive,,,,
4,5G/6G Connectivity,5G_6G_Connectivity,-0.3182,Negative,-0.3182,Negative,,,,,,,,,,
5,5G/6G Connectivity,5G_6G_Connectivity,0.7845,Positive,,,,,,,0.7845,,,Positive,,
6,5G/6G Connectivity,5G_6G_Connectivity,0.4939,Positive,,,,,,,0.4939,,,Positive,,
7,5G/6G Connectivity,5G_6G_Connectivity,0.0,Neutral,,,,,,,,,,,,
8,5G/6G Connectivity,5G_6G_Connectivity,0.0,Neutral,,,,0.0,,0.0,0.0,,Neutral,Neutral,Neutral,
9,5G/6G Connectivity,5G_6G_Connectivity,-0.0258,Neutral,,,,,,,,,,,,
10,5G/6G Connectivity,5G_6G_Connectivity,0.0,Neutral,0.0,Neutral,,,,,,,,,,
11,5G/6G Connectivity,5G_6G_Connectivity,0.0,Neutral,,,,,,,,,,,,
12,5G/6G Connectivity,5G_6G_Connectivity,0.4404,Positive,0.4404,Positive,,,,,,,,,,
13,5G/6G Connectivity,5G_6G_Connectivity,0.0,Neutral,,,0.0,,,0.0,,Neutral,Neutral,,,
14,5G/6G Connectivity,5G_6G_Connectivity,-0.2263,Negative,,,-0.2263,,,,,Negative,,,,
15,5G/6G Connectivity,5G_6G_Connectivity,0.3818,Positive,,,0.3818,,,,,Positive,,,,
16,5G/6G Connectivity,5G_6G_Connectivity,-0.3182,Negative,-0.3182,Negative,,,,,,,,,,
17,5G/6G Connectivity,5G_6G_Connectivity,0.7845,Positive,,,,,,,0.7845,,,Positive,,
18,5G/6G Connectivity,5G_6G_Connectivity,0.4939,Positive,,,,,,,0.4939,,,Positive,,
19,5G/6G Connectivity,5G_6G_Connectivity,0.0,Neutral,,,,,,,,,,,,
20,5G/6G Connectivity,5G_6G_Connectivity,0.0,Neutral,,,,0.0,,0.0,0.0,,Neutral,Neutral,Neutral,
21,5G/6G Connectivity,5G_6G_Connectivity,-0.0258,Neutral,,,,,,,,,,,,
22,5G/6G Connectivity,5G_6G_Connectivity,0.0,Neutral,0.0,Neutral,,,,,,,,,,
23,5G/6G Connectivity,5G_6G_Connectivity,0.0,Neutral,,,,,,,,,,,,
24,5G/6G Connectivity,5G_6G_Connectivity,0.4404,Positive,0.4404,Positive,,,,,,,,,,
25,5G/6G Connectivity,5G_6G_Connectivity,0.0,Neutral,,,0.0,,,0.0,,Neutral,Neutral,,,
26,5G/6G Connectivity,5G_6G_Connectivity,-0.2263,Negative,,,-0.2263,,,,,Negative,,,,
27,5G/6G Connectivity,5G_6G_Connectivity,0.3818,Positive,,,0.3818,,,,,Positive,,,,
28,5G/6G Connectivity,5G_6G_Connectivity,-0.3182,Negative,-0.3182,Negative,,,,,,,,,,
29,5G/6G Connectivity,5G_6G_Connectivity,0.7845,Positive,,,,,,,0.7845,,,Positive,,
30,5G/6G Connectivity,5G_6G_Connectivity,0.4939,Positive,,,,,,,0.4939,,,Positive,,
31,5G/6G Connectivity,5G_6G_Connectivity,0.0,Neutral,,,,,,,,,,,,
32,5G/6G Connectivity,5G_6G_Connectivity,0.0,Neutral,,,,0.0,,0.0,0.0,,Neutral,Neutral,Neutral,
33,5G/6G Connectivity,5G_6G_Connectivity,-0.0258,Neutral,,,,,,,,,,,,
34,5G/6G Connectivity,5G_6G_Connectivity,0.0,Neutral,0.0,Neutral,,,,,,,,,,
35,5G/6G Connectivity,5G_6G_Connectivity,0.0,Neutral,,,,,,,,,,,,
36,5G/6G Connectivity,5G_6G_Connectivity,0.4404,Positive,0.4404,Positive,,,,,,,,,,
37,5G/6G Connectivity,5G_6G_Connectivity,0.0,Neutral,,,0.0,,,0.0,,Neutral,Neutral,,,
38,5G/6G Connectivity,5G_6G_Connectivity,-0.2263,Negative,,,-0.2263,,,,,Negative,,,,
39,5G/6G Connectivity,5G_6G_Connectivity,0.3818,Positive,,,0.3818,,,,,Positive,,,,
40,5G/6G Connectivity,5G_6G_Connectivity,-0.3182,Negative,-0.3182,Negative,,,,,,,,,,
41,5G/6G Connectivity,5G_6G_Connectivity,0.7845,Positive,,,,,,,0.7845,,,Positive,,
42,5G/6G Connectivity,5G_6G_Connectivity,0.4939,Positive,,,,,,,0.4939,,,Positive,,
43,5G/6G Connectivity,5G_6G_Connectivity,0.0,Neutral,,,,,,,,,,,,
44,5G/6G Connectivity,5G_6G_Connectivity,0.0,Neutral,,,,0.0,,0.0,0.0,,Neutral,Neutral,Neutral,
45,5G/6G Connectivity,5G_6G_Connectivity,-0.0258,Neutral,,,,,,,,,,,,
46,5G/6G Connectivity,5G_6G_Connectivity,0.0,Neutral,0.0,Neutral,,,,,,,,,,
47,5G/6G Connectivity,5G_6G_Connectivity,0.0,Neutral,,,,,,,,,,,,
48,5G/6G Connectivity,5G_6G_Connectivity,0.4404,Positive,0.4404,Positive,,,,,,,,,,
49,5G/6G Connectivity,5G_6G_Connectivity,0.0,Neutral,,,0.0,,,0.0,,Neutral,Neutral,,,
50,5G/6G Connectivity,5G_6G_Connectivity,-0.2263,Negative,,,-0.2263,,,,,Negative,,,,
51,5G/6G Connectivity,5G_6G_Connectivity,0.3818,Positive,,,0.3818,,,,,Positive,,,,
52,5G/6G Connectivity,5G_6G_Connectivity,-0.3182,Negative,-0.3182,Negative,,,,,,,,,,
53,5G/6G Connectivity,5G_6G_Connectivity,0.7845,Positive,,,,,,,0.7845,,,Positive,,
54,5G/6G Connectivity,5G_6G_Connectivity,0.4939,Positive,,,,,,,0.4939,,,Positive,,
55,5G/6G Connectivity,5G_6G_Connectivity,0.0,Neutral,,,,,,,,,,,,
56,5G/6G Connectivity,5G_6G_Connectivity,0.0,Neutral,,,,0.0,,0.0,0.0,,Neutral,Neutral,Neutral,
57,5G/6G Connectivity,5G_6G_Connectivity,-0.0258,Neutral,,,,,,,,,,,,
58,5G/6G Connectivity,5G_6G_Connectivity,0.0,Neutral,0.0,Neutral,,,,,,,,,,
59,5G/6G Connectivity,5G_6G_Connectivity,0.0,Neutral,,,,,,,,,,,,
60,5G/6G Connectivity,5G_6G_Connectivity,0.4404,Positive,0.4404,Positive,,,,,,,,,,
61,5G/6G Connectivity,5G_6G_Connectivity,0.0,Neutral,,,0.0,,,0.0,,Neutral,Neutral,,,
62,5G/6G Connectivity,5G_6G_Connectivity,-0.2263,Negative,,,-0.2263,,,,,Negative,,,,
63,5G/6G Connectivity,5G_6G_Connectivity,0.3818,Positive,,,0.3818,,,,,Positive,,,,
64,5G/6G Connectivity,5G_6G_Connectivity,-0.3182,Negative,-0.3182,Negative,,,,,,,,,,
65,5G/6G Connectivity,5G_6G_Connectivity,0.7845,Positive,,,,,,,0.7845,,,Positive,,
66,5G/6G Connectivity,5G_6G_Connectivity,0.4939,Positive,,,,,,,0.4939,,,Positive,,
67,5G/6G Connectivity,5G_6G_Connectivity,0.0,Neutral,,,,,,,,,,,,
68,5G/6G Connectivity,5G_6G_Connectivity,0.0,Neutral,,,,0.0,,0.0,0.0,,Neutral,Neutral,Neutral,
69,5G/6G Connectivity,5G_6G_Connectivity,-0.0258,Neutral,,,,,,,,,,,,
70,5G/6G Connectivity,5G_6G_Connectivity,0.0,Neutral,0.0,Neutral,,,,,,,,,,
71,5G/6G Connectivity,5G_6G_Connectivity,0.0,Neutral,,,,,,,,,,,,
72,5G/6G Connectivity,5G_6G_Connectivity,0.4404,Positive,0.4404,Positive,,,,,,,,,,
73,5G/6G Connectivity,5G_6G_Connectivity,0.0,Neutral,,,0.0,,,0.0,,Neutral,Neutral,,,
74,5G/6G Connectivity,5G_6G_Connectivity,-0.2263,Negative,,,-0.2263,,,,,Negative,,,,
75,5G/6G Connectivity,5G_6G_Connectivity,0.3818,Positive,,,0.3818,,,,,Positive,,,,
76,5G/6G Connectivity,5G_6G_Connectivity,-0.3182,Negative,-0.3182,Negative,,,,,,,,,,
77,5G/6G Connectivity,5G_6G_Connectivity,0.7845,Positive,,,,,,,0.7845,,,Positive,,
78,5G/6G Connectivity,5G_6G_Connectivity,0.4939,Positive,,,,,,,0.4939,,,Positive,,
79,5G/6G Connectivity,5G_6G_Connectivity,0.0,Neutral,,,,,,,,,,,,
80,5G/6G Connectivity,5G_6G_Connectivity,0.0,Neutral,,,,0.0,,0.0,0.0,,Neutral,Neutral,Neutral,
81,5G/6G Connectivity,5G_6G_Connectivity,-0.0258,Neutral,,,,,,,,,,,,
82,5G/6G Connectivity,5G_6G_Connectivity,0.0,Neutral,0.0,Neutral,,,,,,,,,,
83,5G/6G Connectivity,5G_6G_Connectivity,0.0,Neutral,,,,,,,,,,,,
84,5G/6G Connectivity,5G_6G_Connectivity,0.4404,Positive,0.4404,Positive,,,,,,,,,,
85,5G/6G Connectivity,5G_6G_Connectivity,0.0,Neutral,,,0.0,,,0.0,,Neutral,Neutral,,,
86,5G/6G Connectivity,5G_6G_Connectivity,-0.2263,Negative,,,-0.2263,,,,,Negative,,,,
87,5G/6G Connectivity,5G_6G_Connectivity,0.3818,Positive,,,0.3818,,,,,Positive,,,,
88,5G/6G Connectivity,5G_6G_Connectivity,-0.3182,Negative,-0.3182,Negative,,,,,,,,,,
89,5G/6G Connectivity,5G_6G_Connectivity,0.7845,Positive,,,,,,,0.7845,,,Positive,,
90,5G/6G Connectivity,5G_6G_Connectivity,0.4939,Positive,,,,,,,0.4939,,,Positive,,
91,5G/6G Connectivity,5G_6G_Connectivity,0.0,Neutral,,,,,,,,,,,,
92,5G/6G Connectivity,5G_6G_Connectivity,0.0,Neutral,,,,0.0,,0.0,0.0,,Neutral,Neutral,Neutral,
93,5G/6G Connectivity,5G_6G_Connectivity,-0.0258,Neutral,,,,,,,,,,,,
94,5G/6G Connectivity,5G_6G_Connectivity,0.0,Neutral,0.0,Neutral,,,,,,,,,,
95,5G/6G Connectivity,5G_6G_Connectivity,0.0,Neutral,,,,,,,,,,,,
96,5G/6G Connectivity,5G_6G_Connectivity,0.4404,Positive,0.4404,Positive,,,,,,,,,,
97,5G/6G Connectivity,5G_6G_Connectivity,0.0,Neutral,,,0.0,,,0.0,,Neutral,Neutral,,,
98,5G/6G Connectivity,5G_6G_Connectivity,-0.2263,Negative,,,-0.2263,,,,,Negative,,,,
99,5G/6G Connectivity,5G_6G_Connectivity,0.3818,Positive,,,0.3818,,,,,Positive,,,,
100,5G/6G Connectivity,5G_6G_Connectivity,-0.3182,Negative,-0.3182,Negative,,,,,,,,,,
101,5G/6G Connectivity,5G_6G_Connectivity,0.7845,Positive,,,,,,,0.7845,,,Positive,,
102,5G/6G Connectivity,5G_6G_Connectivity,0.4939,Positive,,,,,,,0.4939,,,Positive,,
103,5G/6G Connectivity,5G_6G_Connectivity,0.0,Neutral,,,,,,,,,,,,
104,5G/6G Connectivity,5G_6G_Connectivity,0.0,Neutral,,,,0.0,,0.0,0.0,,Neutral,Neutral,Neutral,
105,5G/6G Connectivity,5G_6G_Connectivity,-0.0258,Neutral,,,,,,,,,,,,
106,5G/6G Connectivity,5G_6G_Connectivity,0.0,Neutral,0.0,Neutral,,,,,,,,,,
107,5G/6G Connectivity,5G_6G_Connectivity,0.0,Neutral,,,,,,,,,,,,
108,5G/6G Connectivity,5G_6G_Connectivity,0.4404,Positive,0.4404,Positive,,,,,,,,,,
109,5G/6G Connectivity,5G_6G_Connectivity,0.0,Neutral,,,0.0,,,0.0,,Neutral,Neutral,,,
110,5G/6G Connectivity,5G_6G_Connectivity,-0.2263,Negative,,,-0.2263,,,,,Negative,,,,
111,5G/6G Connectivity,5G_6G_Connectivity,0.3818,Positive,,,0.3818,,,,,Positive,,,,
112,5G/6G Connectivity,5G_6G_Connectivity,-0.3182,Negative,-0.3182,Negative,,,,,,,,,,
113,5G/6G Connectivity,5G_6G_Connectivity,0.7845,Positive,,,,,,,0.7845,,,Positive,,
114,5G/6G Connectivity,5G_6G_Connectivity,0.4939,Positive,,,,,,,0.4939,,,Positive,,
115,5G/6G Connectivity,5G_6G_Connectivity,0.0,Neutral,,,,,,,,,,,,
116,5G/6G Connectivity,5G_6G_Connectivity,0.0,Neutral,,,,0.0,,0.0,0.0,,Neutral,Neutral,Neutral,
117,5G/6G Connectivity,5G_6G_Connectivity,-0.0258,Neutral,,,,,,,,,,,,
118,5G/6G Connectivity,5G_6G_Connectivity,0.0,Neutral,0.0,Neutral,,,,,,,,,,
119,5G/6G Connectivity,5G_6G_Connectivity,0.0,Neutral,,,,,,,,,,,,
120,Edge Computing,Edge_Computing,0.0,Neutral,0.0,Neutral,,,,,0.0,,,Neutral,,
121,Edge Computing,Edge_Computing,0.0,Neutral,,,,,,,0.0,,,Neutral,,
122,Edge Computing,Edge_Computing,0.0,Neutral,,,,,,,,,,,,
123,Edge Computing,Edge_Computing,0.1779,Positive,,,,,,,,,,,,
124,Edge Computing,Edge_Computing,0.0,Neutral,,,,,,0.0,,,Neutral,,,
125,Edge Computing,Edge_Computing,0.0,Neutral,,,,,,,,,,,,
126,Edge Computing,Edge_Computing,0.0,Neutral,0.0,Neutral,,,,,0.0,,,Neutral,,
127,Edge Computing,Edge_Computing,0.0,Neutral,,,,,,,0.0,,,Neutral,,
128,Edge Computing,Edge_Computing,0.0,Neutral,,,,0.0,,0.0,0.0,,Neutral,Neutral,Neutral,
129,Edge Computing,Edge_Computing,0.0,Neutral,,,,,,,,,,,,
130,Edge Computing,Edge_Computing,0.0,Neutral,,,,,,,,,,,,
131,Edge Computing,Edge_Computing,0.6486,Positive,0.6486,Positive,,,,,,,,,,
132,Edge Computing,Edge_Computing,0.0,Neutral,0.0,Neutral,,,,,0.0,,,Neutral,,
133,Edge Computing,Edge_Computing,0.0,Neutral,,,,,,,0.0,,,Neutral,,
134,Edge Computing,Edge_Computing,0.0,Neutral,,,,,,,,,,,,
135,Edge Computing,Edge_Computing,0.1779,Positive,,,,,,,,,,,,
136,Edge Computing,Edge_Computing,0.0,Neutral,,,,,,0.0,,,Neutral,,,
137,Edge Computing,Edge_Computing,0.0,Neutral,,,,,,,,,,,,
138,Edge Computing,Edge_Computing,0.0,Neutral,0.0,Neutral,,,,,0.0,,,Neutral,,
139,Edge Computing,Edge_Computing,0.0,Neutral,,,,,,,0.0,,,Neutral,,
140,Edge Computing,Edge_Computing,0.0,Neutral,,,,0.0,,0.0,0.0,,Neutral,Neutral,Neutral,
141,Edge Computing,Edge_Computing,0.0,Neutral,,,,,,,,,,,,
142,Edge Computing,Edge_Computing,0.0,Neutral,,,,,,,,,,,,
143,Edge Computing,Edge_Computing,0.6486,Positive,0.6486,Positive,,,,,,,,,,
144,Edge Computing,Edge_Computing,0.0,Neutral,0.0,Neutral,,,,,0.0,,,Neutral,,
145,Edge Computing,Edge_Computing,0.0,Neutral,,,,,,,0.0,,,Neutral,,
146,Edge Computing,Edge_Computing,0.0,Neutral,,,,,,,,,,,,
147,Edge Computing,Edge_Computing,0.1779,Positive,,,,,,,,,,,,
148,Edge Computing,Edge_Computing,0.0,Neutral,,,,,,0.0,,,Neutral,,,
149,Edge Computing,Edge_Computing,0.0,Neutral,,,,,,,,,,,,
150,Edge Computing,Edge_Computing,0.0,Neutral,0.0,Neutral,,,,,0.0,,,Neutral,,
151,Edge Computing,Edge_Computing,0.0,Neutral,,,,,,,0.0,,,Neutral,,
152,Edge Computing,Edge_Computing,0.0,Neutral,,,,0.0,,0.0,0.0,,Neutral,Neutral,Neutral,
153,Edge Computing,Edge_Computing,0.0,Neutral,,,,,,,,,,,,
154,Edge Computing,Edge_Computing,0.0,Neutral,,,,,,,,,,,,
155,Edge Computing,Edge_Computing,0.6486,Positive,0.6486,Positive,,,,,,,,,,
156,Edge Computing,Edge_Computing,0.0,Neutral,0.0,Neutral,,,,,0.0,,,Neutral,,
157,Edge Computing,Edge_Computing,0.0,Neutral,,,,,,,0.0,,,Neutral,,
158,Edge Computing,Edge_Computing,0.0,Neutral,,,,,,,,,,,,
159,Edge Computing,Edge_Computing,0.1779,Positive,,,,,,,,,,,,
160,Edge Computing,Edge_Computing,0.0,Neutral,,,,,,0.0,,,Neutral,,,
161,Edge Computing,Edge_Computing,0.0,Neutral,,,,,,,,,,,,
162,Edge Computing,Edge_Computing,0.0,Neutral,0.0,Neutral,,,,,0.0,,,Neutral,,
163,Edge Computing,Edge_Computing,0.0,Neutral,,,,,,,0.0,,,Neutral,,
164,Edge Computing,Edge_Computing,0.0,Neutral,,,,0.0,,0.0,0.0,,Neutral,Neutral,Neutral,
165,Edge Computing,Edge_Computing,0.0,Neutral,,,,,,,,,,,,
166,Edge Computing,Edge_Computing,0.0,Neutral,,,,,,,,,,,,
167,Edge Computing,Edge_Computing,0.6486,Positive,0.6486,Positive,,,,,,,,,,
168,Edge Computing,Edge_Computing,0.0,Neutral,0.0,Neutral,,,,,0.0,,,Neutral,,
169,Edge Computing,Edge_Computing,0.0,Neutral,,,,,,,0.0,,,Neutral,,
170,Edge Computing,Edge_Computing,0.0,Neutral,,,,,,,,,,,,
171,Edge Computing,Edge_Computing,0.1779,Positive,,,,,,,,,,,,
172,Edge Computing,Edge_Computing,0.0,Neutral,,,,,,0.0,,,Neutral,,,
173,Edge Computing,Edge_Computing,0.0,Neutral,,,,,,,,,,,,
174,Edge Computing,Edge_Computing,0.0,Neutral,0.0,Neutral,,,,,0.0,,,Neutral,,
175,Edge Computing,Edge_Computing,0.0,Neutral,,,,,,,0.0,,,Neutral,,
176,Edge Computing,Edge_Computing,0.0,Neutral,,,,0.0,,0.0,0.0,,Neutral,Neutral,Neutral,
177,Edge Computing,Edge_Computing,0.0,Neutral,,,,,,,,,,,,
178,Edge Computing,Edge_Computing,0.0,Neutral,,,,,,,,,,,,
179,Edge Computing,Edge_Computing,0.6486,Positive,0.6486,Positive,,,,,,,,,,
180,Edge Computing,Edge_Computing,0.0,Neutral,0.0,Neutral,,,,,0.0,,,Neutral,,
181,Edge Computing,Edge_Computing,0.0,Neutral,,,,,,,0.0,,,Neutral,,
182,Edge Computing,Edge_Computing,0.0,Neutral,,,,,,,,,,,,
183,Edge Computing,Edge_Computing,0.1779,Positive,,,,,,,,,,,,
184,Edge Computing,Edge_Computing,0.0,Neutral,,,,,,0.0,,,Neutral,,,
185,Edge Computing,Edge_Computing,0.0,Neutral,,,,,,,,,,,,
186,Edge Computing,Edge_Computing,0.0,Neutral,0.0,Neutral,,,,,0.0,,,Neutral,,
187,Edge Computing,Edge_Computing,0.0,Neutral,,,,,,,0.0,,,Neutral,,
188,Edge Computing,Edge_Computing,0.0,Neutral,,,,0.0,,0.0,0.0,,Neutral,Neutral,Neutral,
189,Edge Computing,Edge_Computing,0.0,Neutral,,,,,,,,,,,,
190,Edge Computing,Edge_Computing,0.0,Neutral,,,,,,,,,,,,
191,Edge Computing,Edge_Computing,0.6486,Positive,0.6486,Positive,,,,,,,,,,
192,Edge Computing,Edge_Computing,0.0,Neutral,0.0,Neutral,,,,,0.0,,,Neutral,,
